Ticker,Stock Price,Market Capitalization,Number of Share to Buy
EL,$320.47,114881812919.00,8.00
EMN,$117.22,16561042752.00,24.00
EMR,$100.72,59788466254.00,28.00
EOG,$87.07,51790474254.00,33.00
EQIX,$813.90,72053847116.00,3.00
EQR,$79.98,29749130283.00,36.00
ES,$81.00,28365411430.00,35.00
ESS,$313.52,20441703337.00,9.00
ETFC,$49.97,11171902628.00,57.00
ETN,$157.29,60598731606.00,18.00
ETR,$105.47,20971535760.00,27.00
EVRG,$63.45,14455361767.00,45.00
EW,$109.85,65775366651.00,26.00
EXC,$45.42,44965355892.00,63.00
EXPD,$128.08,21675822112.00,22.00
EXPE,$171.00,24479478418.00,16.00
EXR,$171.38,22486170303.00,16.00
F,$15.35,60483403765.00,187.00
FANG,$102.58,18296589321.00,28.00
FAST,$53.31,30468021454.00,54.00
FB,$372.29,1065761135270.00,7.00
FBHS,$100.19,14427226503.00,28.00
FCX,$39.00,55798602470.00,73.00
FDX,$306.06,80845273212.00,9.00
FE,$39.04,21446575537.00,73.00
FFIV,$192.49,11689782379.00,14.00
FIS,$151.00,89681464721.00,19.00
FISV,$111.53,75081382601.00,25.00
FITB,$40.35,27418970415.00,71.00
FLIR,$59.55,7621198436.00,48.00
FLS,$41.92,5404651730.00,68.00
FLT,$261.32,22294803783.00,11.00
FMC,$109.78,14134887628.00,26.00
FOX,$36.18,21894349343.00,79.00
FOXA,$38.70,21777436197.00,74.00
FRC,$190.31,33253162870.00,15.00
FRT,$119.00,9271984524.00,24.00
FTI,$9.52,4231487136.00,302.00
FTNT,$247.23,40084052650.00,11.00
FTV,$74.14,24977410872.00,38.00
GD,$195.70,53870775559.00,14.00
GE,$14.03,120295707913.00,205.00
GILD,$71.61,90548196384.00,40.00
GIS,$61.53,37278787758.00,46.00
GL,$99.88,10100949339.00,28.00
GLW,$41.13,35223111000.00,70.00
GM,$61.22,86434578439.00,47.00
GOOG,$2656.80,1745883559336.00,1.00
GOOGL,$2521.89,1806104773858.00,1.00
GPC,$133.26,19265142433.00,21.00
GPN,$192.89,58585888325.00,14.00
GPS,$33.63,13037220140.00,85.00
GRMN,$149.80,29346267371.00,19.00
GS,$386.84,129689993495.00,7.00
GWW,$457.90,23957534424.00,6.00
HAL,$24.65,21245635292.00,116.00
HAS,$97.74,13705215849.00,29.00
HBAN,$14.54,14893312862.00,198.00
HBI,$18.89,6649204735.00,152.00
HCA,$219.58,73459558115.00,13.00
HD,$323.07,347687007653.00,8.00
HES,$91.21,27862012537.00,31.00
HFC,$34.01,5509865869.00,84.00
HIG,$63.10,23297015509.00,45.00
HII,$217.80,8885276930.00,13.00
HLT,$126.84,35890676095.00,22.00
HOLX,$70.16,17986798791.00,41.00
HON,$229.61,159440364690.00,12.00
HPE,$14.81,19583982980.00,194.00
HPQ,$31.68,38311560273.00,91.00
HRB,$24.50,4492821659.00,117.00
HRL,$49.56,26878966245.00,58.00
HSIC,$76.88,11004318375.00,37.00
HST,$17.66,12532042481.00,163.00
HSY,$176.13,37099189201.00,16.00
HUM,$466.51,60450588574.00,6.00
HWM,$35.42,15702255149.00,81.00
IBM,$151.82,136848000215.00,18.00
ICE,$120.23,69449041002.00,23.00
IDXX,$670.46,57231757627.00,4.00
IEX,$226.74,17011253186.00,12.00
IFF,$153.95,37705757174.00,18.00
ILMN,$480.19,69913213987.00,6.00
INCY,$83.60,18762835240.00,34.00
INFO,$117.20,49542584580.00,24.00
INTC,$57.44,233099470383.00,50.00
INTU,$517.41,142540587643.00,5.00
IP,$63.56,23934819058.00,45.00
IPG,$34.09,13199536238.00,84.00
IPGP,$216.48,11618313525.00,13.00
IQV,$255.01,48360885659.00,11.00
IR,$50.37,21093065907.00,57.00
IRM,$42.59,12481669881.00,67.00
ISRG,$943.40,112399280900.00,3.00
IT,$254.00,21754689963.00,11.00
ITW,$226.30,74384028773.00,12.00
IVZ,$27.84,12702172015.00,103.00
J,$136.22,18170039285.00,21.00
JBHT,$173.65,17793603767.00,16.00
JCI,$71.64,49901605733.00,40.00
JKHY,$170.85,12621491214.00,16.00
JNJ,$172.60,443711506129.00,16.00
JNPR,$27.44,9056423656.00,105.00
JPM,$162.60,490737127961.00,17.00
K,$64.55,22128677964.00,44.00
KEY,$21.66,21052714365.00,133.00
KEYS,$158.36,29076353554.00,18.00
KHC,$40.99,51472476500.00,70.00
KIM,$21.30,9411206008.00,135.00
KLAC,$326.89,49103020392.00,8.00
KMB,$139.87,46420115839.00,20.00
KMI,$18.61,42576794516.00,155.00
KMX,$134.59,22030448551.00,21.00
KO,$55.31,244637527006.00,52.00
KR,$39.61,29433845768.00,72.00
KSS,$57.38,8899841462.00,50.00
KSU,$286.21,26923539401.00,10.00
L,$56.31,15045848668.00,51.00
LB,$75.64,20513826679.00,38.00
LDOS,$104.43,14786901912.00,27.00
LEG,$52.70,6847514043.00,54.00
LEN,$106.86,31287083831.00,26.00
LH,$288.81,27388213858.00,9.00
LHX,$226.47,45275294729.00,12.00
LIN,$294.14,155959636747.00,9.00
LKQ,$49.96,15455209074.00,57.00
LLY,$232.32,222236704041.00,12.00
LMT,$383.14,108022293670.00,7.00
LNC,$66.91,12706718688.00,43.00
LNT,$57.87,14453340012.00,49.00
LOW,$196.18,143663015631.00,14.00
LRCX,$659.56,93572907309.00,4.00
LUV,$55.98,33231186589.00,51.00
LVS,$53.17,41544285312.00,54.00
LW,$84.60,11903365183.00,34.00
LYB,$103.60,35900597113.00,27.00
LYV,$89.06,20191542136.00,32.00
MA,$389.04,368112845475.00,7.00
MAA,$175.77,19969030644.00,16.00
MAR,$142.52,47604683223.00,20.00
MAS,$61.98,15362319570.00,46.00
MCD,$236.69,177005159857.00,12.00
MCHP,$149.80,41743557404.00,19.00
MCK,$200.55,31525288027.00,14.00
MCO,$382.80,71571037831.00,7.00
MDLZ,$62.80,89001577501.00,45.00
MDT,$128.38,174794285168.00,22.00
MET,$62.30,53347372952.00,46.00
MGM,$43.35,21997523796.00,66.00
MHK,$199.98,14117288140.00,14.00
MKC,$89.03,24271565512.00,32.00
MKTX,$468.47,17749906345.00,6.00
MLM,$352.20,22851873415.00,8.00
MMC,$148.95,76130658239.00,19.00
MMM,$206.40,115884796555.00,13.00
MNST,$96.14,49552372729.00,29.00
MO,$47.90,91208737145.00,60.00
MOS,$31.72,12109637525.00,90.00
MPC,$63.05,39822554703.00,45.00
MRK,$81.45,206116465050.00,35.00
MRO,$14.50,11399176638.00,198.00
MS,$95.45,176470849212.00,30.00
MSCI,$537.29,44239617529.00,5.00
MSFT,$277.40,2153891769762.00,10.00
MSI,$226.26,37590591779.00,12.00
MTB,$147.65,19629051575.00,19.00
MTD,$1422.29,33102449164.00,2.00
MU,$80.42,90569003315.00,35.00
MXIM,$105.84,28973176502.00,27.00
MYL,$16.08,8642088752.00,179.00
NBL,$8.77,4222496249.00,328.00
NCLH,$30.35,6325664241.00,95.00
NDAQ,$179.02,29424282314.00,16.00
NEE,$74.34,145114859050.00,38.00
NEM,$65.53,52518837047.00,44.00
NFLX,$544.63,240815590920.00,5.00
NI,$25.09,9892173671.00,114.00
NKE,$163.50,251549312878.00,17.00
NLOK,$28.30,15863101532.00,101.00
NLSN,$25.76,8917437830.00,111.00
NOC,$371.67,59950227516.00,7.00
NOV,$16.04,6006068659.00,179.00
NOW,$552.24,111145380259.00,5.00
NRG,$41.60,10129354844.00,69.00
NSC,$274.36,68831075831.00,10.00
NTAP,$83.49,19172102973.00,34.00
NTRS,$120.79,24245576264.00,23.00
NUE,$96.80,28919786098.00,29.00
NVDA,$835.79,523343056213.00,3.00
NVR,$5352.41,18883946456.00,0.00
NWL,$27.28,12036778237.00,105.00
NWS,$25.67,15737993977.00,112.00
NWSA,$26.61,15088952583.00,108.00
O,$68.12,26387852516.00,42.00
ODFL,$268.43,30537729693.00,10.00
OKE,$57.27,25795206626.00,50.00
OMC,$82.96,17546935324.00,34.00
ORCL,$82.04,231251045338.00,35.00
ORLY,$582.00,40351799826.00,4.00
OTIS,$82.85,36306124917.00,34.00
OXY,$34.00,30437631858.00,84.00
PAYC,$394.87,22902178156.00,7.00
PAYX,$112.22,40534487069.00,25.00
PBCT,$17.39,7432073294.00,165.00
PCAR,$90.22,32235834286.00,31.00
PEAK,$34.43,18207527333.00,83.00
PEG,$62.92,31136600908.00,45.00
PEP,$154.00,214496002176.00,18.00
PFE,$39.74,222990863342.00,72.00
PFG,$65.20,17663930636.00,44.00
PG,$137.12,342235301559.00,21.00
PGR,$99.03,59590304445.00,29.00
PH,$323.09,40776686755.00,8.00
PHM,$56.70,15013490408.00,50.00
PKG,$136.22,13149986505.00,21.00
PKI,$157.51,17336825573.00,18.00
PLD,$126.32,93532261212.00,22.00
PM,$104.03,160259279564.00,27.00
PNC,$199.58,81860720768.00,14.00
PNR,$67.96,11492844012.00,42.00
PNW,$85.77,9646898451.00,33.00
PPG,$173.70,40762255318.00,16.00
PPL,$28.81,22136033626.00,100.00
PRGO,$48.10,6390405946.00,59.00
PRU,$107.26,40561794559.00,26.00
PSA,$307.90,55246246243.00,9.00
PSX,$89.91,38336902388.00,32.00
PVH,$110.34,8069425841.00,26.00
PWR,$92.96,13068177674.00,31.00
PXD,$172.73,41492262599.00,16.00
PYPL,$299.81,341802483128.00,9.00
QCOM,$145.39,162405023179.00,19.00
QRVO,$204.84,22025611958.00,14.00
RCL,$88.66,21767886615.00,32.00
RE,$260.01,12715738732.00,11.00
REG,$66.34,11483804656.00,43.00
REGN,$579.07,63284039921.00,4.00
RF,$20.47,20280703859.00,140.00
RHI,$90.82,10335871121.00,31.00
RJF,$135.54,19026239803.00,21.00
RL,$119.78,8573315813.00,24.00
RMD,$259.09,36594013884.00,11.00
ROK,$286.75,33090838844.00,10.00
ROL,$34.67,17642874898.00,83.00
ROP,$477.79,51168130222.00,6.00
ROST,$126.23,44704700821.00,22.00
RSG,$114.20,36487924553.00,25.00
RTX,$86.80,134086743377.00,33.00
SBAC,$332.36,36329800466.00,8.00
SBUX,$119.74,139403792731.00,24.00
SCHW,$75.22,139353367960.00,38.00
SEE,$59.14,9083604653.00,48.00
SHW,$284.95,74608058089.00,10.00
SIVB,$575.58,31993146331.00,5.00
SJM,$130.18,14114050064.00,22.00
SLB,$34.23,47431237442.00,84.00
SLG,$83.13,5769320348.00,34.00
SNA,$223.59,12256125448.00,12.00
SNPS,$283.00,43837023635.00,10.00
SO,$61.41,67632607463.00,46.00
SPG,$138.07,43382365627.00,20.00
SPGI,$419.51,102979072563.00,6.00
SRE,$133.64,40707511961.00,21.00
STE,$219.79,18358180838.00,13.00
STT,$84.72,29631514995.00,34.00
STX,$89.29,0.00,32.00
STZ,$240.50,45185869233.00,11.00
SWK,$212.45,34478305719.00,13.00
SWKS,$200.80,31936863780.00,14.00
SYF,$49.93,29049797006.00,57.00
SYK,$275.91,100904829861.00,10.00
SYY,$76.79,40241091416.00,37.00
T,$30.05,211565289597.00,95.00
TAP,$53.68,11313596685.00,53.00
TDG,$664.00,37549207313.00,4.00
TDY,$432.31,15891983912.00,6.00
TEL,$140.00,46991062292.00,20.00
TFC,$58.15,75837425216.00,49.00
TFX,$416.04,19549556118.00,6.00
TGT,$249.93,126740211811.00,11.00
TIF,$136.16,16382788607.00,21.00
TJX,$69.98,84849129115.00,41.00
TMO,$521.58,207045246598.00,5.00
TMUS,$149.25,188593423588.00,19.00
TPR,$43.10,12015429442.00,66.00
TROW,$204.45,45735919381.00,14.00
TRV,$152.61,39636910159.00,18.00
TSCO,$192.73,22166304434.00,14.00
TSN,$77.18,27149209993.00,37.00
TT,$195.55,46772977427.00,14.00
TTWO,$184.19,20838922377.00,15.00
TWTR,$69.88,56177759371.00,41.00
TXN,$193.88,182072797334.00,14.00
TXT,$71.15,15630281220.00,40.00
TYL,$483.46,18838786474.00,5.00
UA,$18.62,9076201651.00,154.00
UAA,$21.10,9090860672.00,136.00
UAL,$53.85,17278937844.00,53.00
UDR,$52.06,15463550371.00,55.00
UHS,$155.20,13099667991.00,18.00
ULTA,$347.96,19552150550.00,8.00
UNH,$417.06,396882642685.00,6.00
UNM,$29.62,6019422713.00,97.00
UNP,$235.90,153434042688.00,12.00
UPS,$212.89,186070293365.00,13.00
URI,$334.35,23898019752.00,8.00
USB,$57.56,89824516803.00,50.00
V,$244.63,529537932811.00,11.00
VAR,$181.78,16901974121.00,15.00
VFC,$84.34,32949447684.00,34.00
VIAC,$45.91,29276711029.00,62.00
VLO,$81.00,32573075302.00,35.00
VMC,$176.40,22902550224.00,16.00
VNO,$47.50,9247094796.00,60.00
VRSK,$184.17,29218567737.00,15.00
VRSN,$238.10,27249631768.00,12.00
VRTX,$205.00,53873624127.00,14.00
VTR,$59.39,21485238758.00,48.00
VZ,$57.49,235072685610.00,50.00
WAB,$83.04,15861775220.00,34.00
WAT,$367.35,21730655981.00,7.00
WBA,$49.41,42181608510.00,58.00
WDC,$72.85,22503429377.00,39.00
WEC,$91.75,29123213568.00,31.00
WELL,$88.16,35533542158.00,32.00
WFC,$46.18,187994002869.00,62.00
WHR,$224.01,14074708019.00,12.00
WLTW,$238.47,30987773987.00,12.00
WM,$144.72,61332623788.00,19.00
WMB,$27.79,32441655633.00,103.00
WMT,$144.08,393196584282.00,20.00
WRB,$77.23,13853652646.00,37.00
WRK,$52.94,14196277731.00,54.00
WST,$377.46,27069651064.00,7.00
WU,$24.24,9606522502.00,118.00
WY,$34.68,26232312011.00,83.00
WYNN,$122.20,14736495517.00,23.00
XEL,$69.40,36462279067.00,41.00
XLNX,$142.04,35063766426.00,20.00
XOM,$63.69,276071873089.00,45.00
XRAY,$64.10,14361424788.00,44.00
XRX,$25.36,4661865779.00,113.00
XYL,$121.67,22335326291.00,23.00
YUM,$117.58,35686928114.00,24.00
ZBH,$169.75,35663188582.00,16.00
ZBRA,$539.07,28693278427.00,5.00
ZION,$55.40,8927101668.00,52.00
ZTS,$196.27,92314697471.00,14.00
